Comment,Sentiment
Юлия здравствуйтеОчень жаль что возникла такая проблемаОтправления экспресс действительно осуществляются в будние дни То есть груз должен быть сдан на терминал в будни до  часовИнформация об условиях перевозки  направления и графики приема и выдачи груза размещена на нашем сайтеСудя по информации в Вашем сообщении груз был сдан для отправки   пятницаПожалуйста напишите мне в ЛС номер накладной на груз будем разбиратьсяЧто касается груза он прибыл находится на терминале Санкт  Петербург ЮГИзвините за неудобства,
Ужасная компания перепутали грузы и не помогают решить проблему всячески препятствует поменять товар самостоятельно Полностью наплевательское отношение В ближайшие дни мы сделаем рассылку по магазинам с нашей базы  тыс и расскажем как замечательно работают Деловые линии За две недели просто истрепали все нервы,
Светлана здравствуйтеСожалею что возникли проблемы при работе с нашей компаниейПожалуйста напишите мне в ЛС номерномера накладных будем разбиратьсяИзвините за неудобства,
Четыре раза пользовался услугами компаниии всегда было отличноНо потребовалось доставить запчасти из Пермипосоветовал продавцу Деловые линиион отправил грузно доехало не всё упаковка вскрытаи той детали которая нужна нетвытащили где то по путиХоть деньги и не большиено доверия к Деловым линиям уже нетНи когда не буду советовать ни друзьямни знакомымПозвонил в компанию сказали будут разбираться но что то я с трудом верючто найдут деталиНакладная  ,
Дмитрий здравствуйтеНам очень жаль что возникла проблема с перевозкой груза Проведем проверку по этому инциденту и обязательно дадим Вам ответ При доставке груза до адреса все повреждения грузаупаковки необходимо фиксировать актом передачи груза Акт составляет водитель по желанию получателя груза По указанной Вами накладной акт не составлен Вы можете подать претензию на возмещение ущерба  образец претензии можно скачать на нашем сайте в разделе Документы Бланки документови направить на электронный адрес  Также написала Вам в ЛС Извините за неудобства,
Добрый день с  августа ждём посылку СПб Вологда Сегодня ездили в офис ничего нет Так долго это нормально,
Любовь здравствуйтеКак правило приходит быстрееНомер накладной на груз мне в ЛС напишите пожалуйста уточню по грузу Груз из Санкт Петербурга прибыл в Вологду Поскольку нам был предоставлен неверный номер телефона не смогли оповестить получателя о прибытииТакже статус груза можно проверить на нашем сайте строка где мой груз Найти перевозку возможно даже без номера накладной при наличии данных получателяотправителя маршрута примерной даты отправки,
Печалька,
а вы до пскова ходити,
Ничего себе у вас отзывы Ни одного положительного не увидел Ничего не собираетесь менять,
Да уж Посылка пришла на терминал сам не могу забрать приехать отправил друга дал ему свой паспорт так ему отказали не ну я все понимаю но блин как тогда мне ее получить Когда и кто сможет в следующий раз поехать я не знаю а что бы кто то другой получил нужно что бы ОТПРАВИТЕЛЬ поменял данные на получателя а это гемморой Вот и скажите тогда как быть Где логика В питере вообще в других ТК приехал номер из СМС показал с телефона и все А тут блин военный режим блин,
Антон здравствуйте Если получателем груза указаны именно Вы то груз мы можем отдать только Вам по предъявлениюв данном случаепаспорта И как Вам сообщили если Вы получить не можете отправитель нам присылает письмо об изменении получателя Направить письмо можно по электронной почте  Требования нашей компании направлены на исключение недоразумений в целях сохранности груза,
Максим это везде так Когда все хорошолюди ничего не пишутАбсолютно в любой сфере Правда стоит понимать что весь вот этот негатив в адрес крупных компанийэто лишь доли процента от общего количества операций которые проходят нормально,
Исправляйте косяк с сайтом До сих пор старый адрес виситЗашибись просто Груз прибыл  терминал не работал  и   зато платное хранение с  числа А не  прифигели ли вы часом,
Ольга здравствуйтеИсправили на сайте размещен верный адрес терминалаБесплатное хранение груза   рабочих дня в этом плане ничего не изменилосьИзвините за неудобства,
Дмитрий здравствуйтеОчень жаль что возникли проблемы при работе с нашей компаниейЧто касается разгрузки мы можем оказать такую услугу и поднять груз в квартируофисГрузы весом до  кг и объемом до  куба поднимаем бесплатно если груз больше и тяжелее тоже поднимем но это будет платная услугаПожалуйста напишите мне номер накладной в ЛС проведем проверку действий операторов чтобы избежать таких ситуаций в дальнейшемИзвините за неудобства,
Сколько стоит доставка из Казани до старого Оскола,
Милена добрый деньСтоимость перевозки зависит от веса и объема груза ориентировочную стоимость перевозки Вы можете рассчитать на нашем сайте,
Отличная транспортная компания Попереворачивали все коробки с пометками верх и хрупкое попортили груза на  и сказали что мы сами виноваты Всем рекомендую,
Глеб здравствуйтеСожалею что возникла такая ситуация Номер накладной на груз напишите мне в ЛС  пожалуйста будем разбиратьсяИзвините за неудобства,
Ужасная транспортная компания Груз должен был прийти в жёстком коробе Но пришёл без него  как оказалось водитель вскрыл короб Зачем  Я так короб и не увидела Вывод  груз был без короба  Мне пришли  коробок была вся влажная внутри был шоколад Теперь его можно выкинуть плиток Они не пригодны для употребления Со мной разговаривали три оператора и ни кто не помог Обещали что приедет водитель отдаст короб и составит акт никто не приехал Ни разу не извинились и не взяли ответственность за такое обслуживание Зато говорили мне как я должна принимать груз За халатность водителя тоже ни кто не берет ответственности Больше пользоваться не буду все ужасно  Все это было  августа ,
Кстати у меня застрахован груз Ну и здесь я пролетела с вашей компанией Никогда в жизни не буду пользоваться этой компанией И другим не советую,
Екатерина здравствуйтеОчень жаль что у Вас возникли проблемы про работе с нашей компанией Пожалуйста напишите мне в ЛС номер накладной на груз будем разбираться какая упаковка была заказана и по какой причине не сделанаИзвините за неудобства,
Отвратительная компания Некомпетентные сотрудники на горячей линии Ждем доставку по городу и выясняется что они её отменили а теперь говорят что доставка была оформлена на другой день  дня не можем получить свой груз в маленьком городе Расстояние от терминала до места назначение около км а получить не можем несколько дней,
Оксана здравствуйтеПожалуйста напишите номер накладной на груз мне в ЛС уточню почему нет доставкиИзвините за неудобства,
сервис ужасен последний раз сотрудничаю с вами Груз прибыл из москвы в спб  августа в накладной неверно указали телефон сам позвонил и сообщил верный телефон Сказали ждите в течении дня но ни слуху не духу более чем за сутки позвонил вновь не рабочий время позвоните завтра,
Андрей здравствуйтеИзвините что возникла проблема с доставкой до адреса информацию передала будем связываться и согласовывать доставку,
Здравствуйте Отправила новую швейную машинку деловыми линиями и заказала жесткую упаковку чтобы аккуратно перевести машинку В результате перемотали желтым скочем после которого остался клей и угол машинки отбит потому что уронили ееКомпания деловые линии как Вы можете помочь решить данную проблему,
Мария здравствуйтеСожалею что возникла проблема при перевозке грузаЕсли при получении упаковкагруз повреждены то по желанию получателя груза составляем актакт составляет менеджер претензионного отдела если груз получают на складе или водительпри доставке до адреса Если необходимо возмещение ущерба подается претензияПожалуйста Мария напишите мне в ЛС номер накладной на грузИзвините за неудобства,
Доставку груза уже просрочили на  днягде он находится оператор не знаетЧто писать претензию,
Анна здравствуйтеПожалуйста напишите мне в ЛС номер накладной на груз будем разбиратьсяИзвините за неудобства,
Добрый день Могу ли оформить МГГ из города Бугуруслан Пройдя по указанной ссылке   такой город не могу указать не вводится,
Игорь здравствуйтеУслуга Доставка малогабаритного груза возможна лишь в городах где есть наши терминалыВ Бугуруслане нашего терминала нетближайший в Бузулуке поэтому не можем оказать услугу МГГ,
Спасибо Вам за ответ,
Мария  день отказывают в документах Уже все выслала даже чеки на продукцию Не принимают Была в офисе сказали мои проблемы Осень зла буду подавать в суд Возместить страховку тоже не могут,
Здравствуйте ЕкатеринаНаписала Вам в ЛС по поводу документов,
Гнилая контора Сервиса ноль Взяли за доставку денег больше положенного и ни как не могут вернуть Причём вина полностью за дел линиями Почта России работает лучше,
Доброго дня   июля г нами отправлен груз из СПБ в Подольск на склад Вайлдберриз  места  кг Отправка транспортной компанией Деловые Линии Накладные  и   По данным ТК товар успешно доставлен на склад Вайлдберриз г  В ходе приемки выяснилось что товар в коробках отсутствует В результате чего имеется подозрение о хищении товара вашими сотрудниками в процессе транспортировки  Это уже второй случай когда наш товар теряется  Настоятельно рекомендуем его найти и разобраться в ситуации так как в этот раз мы намерены найти его во чтобы то ни стало В том числе и с привлечением правоохранительных органов и СМИ,
Добрый день отправили  заказов по разным адресам по России Два заказа перепутали сотрудники ТК Деловые линии Направлявшийся в Астрахань приехал в Тулу а Тульский был на пути в АстраханьСпустя  дней Тульский заказ доставили Астраханский ТК Деловые линии всё никак не заберёт из Тулы Страдает репутация конечного получателя и нашей компанииВ коллцентре нас не связывают с ответственным менеджером общаемся с оператором Беспокоимся что поставка будет сорванаНомер отправления ,
Фидель добрый деньДа груз доставили до адреса получателя  груз был принят о каких либо проблемахнедостаче при получении не заявлялиМы проведем проверку по Вашему обращению и дадим Вам ответСожалею что возникла такая ситуация,
Павел здравствуйтеНомер накладной по которой должен быть возврат денег напишите мне в ЛС пожалуйста будем разбираться,
Андрей добрый деньСожалею что возникла такая проблема будем разбираться Написала Вам в ЛС прошу дать контактные данные,
Сделали срочные экспресс доставки на сегодня с  до  все менеджеры дают разную информацию У заказчика мероприятие Менеджеры отвечают ждите информацию в течении дня Один говорит груз не найден  второй заявку отменили и никакой конкретной информации ,
Петр здравствуйтеСожалею что возникла проблема с доставкой Номер накладной мне в ЛС напишите пожалуйста,
Мария,
Ваша компания перепутала грузы и отправила груз по накладной  в Ростов а должна была в Саранска  должна была в Ростов сейчас он в Саранске Груз местами не меняют Проблему не решают Пишем во всех соц сетях Это полный провал,
Оксана здравствуйтеИзвините за долгое ожиданиеКонечно мы разбираемся в этой ситуации Извините за неудобстваНаписала Вам в ЛС,
Присоединяемся к негативным откликам по качеству работы ООО Деловые линии в гЧебоксары Такой бардак творится с предоставлением документов мало того что своевременно никогда не предоставляют документы на услуги так еще квитанцию к ПКО выдают по запросу чз  дня Сделали из лкабинета эту заявку уточнить у кого конкретно забрать невозможно водитель поехал на терминал говорит ходил пытался найти у кого документ невозможно узнать вернулся ни с чем Многократно пыталась выяснить по телефону такая же безнадежная ситуация ответ информацию передали группе менеджеров То есть снова спросить не с кого такое вот в Вашей организации безответственное отношение к заказчикам Для нас как для юридического лица такое отношение к документообороту и оформлению документов критично Хочется уже к руководству Вашей организации обратиться но повидимому тоже не получится,
Инна здравствуйтеПожалуйста напишите мне в ЛС ИНН Вашей организации будем разбираться,
Деловые Линии НАГЛО ВРУТ и не признают свои ошибки ЗАКАЗАЛА ПЕРЕВОЗКУ ГРУЗА ТК ДЕЛОВЫЕ ЛИНИИ КазаньПермь  Груз из Казани в Пермь едет уже  день Расстояние Казань  Пермь по трассе составляет  км по прямой   км время в пути  ч  м но ни как не  дней Что из Казани водители ваши идут пешком Почта России работает быстрее  Изначально нам сообщили что груз будет доставлен  июля Потом дата доставки была изменена на   статус в пути а где в пути  никто не может мне дать вразумительный ответ И даже никто не оповестил меня т о задержке доставки все сроки нарушены   После того как я начала звонить бесконечно на все горячие линии мне пообещали перезвонить в итоге так и не перезвонили после очередного моего звонка выясняется что раньше го июля даже не стоит ждать груз не будет доставлен тк  выходной день и это вообще еще не факт что будет доставлен и  июля  тк Сотрудники горячей линии сами не знают где он находится и когда точно прибудет в Пермь и даже не могут связаться с менеджером  что бы уточнить всю информацию  В субботу  июля мне обещали что менеджер свяжется со мной в течении дня уже  июля до сих пор звонка не было  я понимаю что сроки могут меняться но не  дней КазаньПермь    тогда так и указывайте изначально что когда нибудь вы груз свой получите а не морочьте людям голову Если установили дату  будьте добры в указанный срок доставить груз а не менять каждый день срок  Хуже транспортной компании не встречала Всеми путями тянут время пошла уже вторая неделя сотрудники горячей линии х слов связать не могут и не предоставляют внятных разъяснений перекидывают от одного оператора к другому Это просто издевательствоЛюдей держат за идиотов   дата доставки стояла  сейчас мне уже говорят  какой срок вы установите еще  Объяснить где находится машина и когда она выехала из Казани и выехала ли вообще мне не могут или просто не хотят  Почему до сих пор никто из менеджеров со мной не связался тоже остается загадкойесть ли они вообще в этой компании   Неужели нет связи с водителем чтобы узнать когда точно прибудет груз БредПравильно пишут люди что ваша компания тянет время специально  ,
Ольга здравствуйтеДа к сожалению произошла существенная задержка по доставке Вашего грузаГруз отправлен из КазаниПо этой накладной есть страховка срока доставки После получения груза Вы можете подать претензию на возмещение стоимости перевозкиТакже от Вас поступила жалоба сейчас находится на рассмотрении обязательно свяжемся и предоставим ответИзвините за неудобства,
Добрый день Объясните мне пожалуйста такую ситуацию по накладной мой груз должен был быть доставлен из города Хабаровск в город Москва на улицу Подольских курсантов  мне за это выставлен счёт Но по факту груз доставлен на противоположный конец города и я должен заплатить дополнительные деньги что бы мой груз был доставлен на тот адрес что указан в накладной,
Снова хочется обратиться с тем же вопросом и с теми же проблемами о чем писала выше и думала что все благополучно разрешилось Но повидимому в Вашей компании это невозможно Наш водитель уже во второй раз был отправлен к указанному Вами лицу для получения квитанции к ПКО которую мы заказывали как положено но снова вернулся ни с чем Причем самое смешное выдали ему вместо квитанции некую информацию о чеках ККМ для чего Кто ее просил И еще кучу документов которые адресованы вообще другой организации Бардак полнейший Пишу в лк менеджеру об этом мол что это такое Мне отвечают направьте ваш запрос на такойто адрес эпочты Ваши менеджеры вообще читают обращения Мы этих запросов уже столько сделали и даже  раза приезжали теперь еще й раз нужно поехать за несчастной квитанцией столько времени потрачено впустую Настолько безответственное отношение к клиентам хочется както связаться с руководством Вашей организации в гЧебоксары но опять же нет возможности не соединяют,
Иван здравствуйтеГрузы которые уходят из Хабаровска поступают на терминал Москва  СеверЛобненская  или могут быть перемещены на терминал Москва ВостокВолгоградский пркт  корпус  если Вам удобно получать все грузы на этом терминалеТакже мы можем доставить до адреса получателя,
Инна здравствуйтеВаше обращение передам для проведения проверкиЧто касается документов уточню и напишу ВамИзвините за неудобства,
Мария ну так а почему в накладной был указан другой адрес  Да мне удобно получать грузы на терминале МоскваВосток,
Иван склад был автоматически выбранЕсли удобно забирать грузы на Москва Восток пожалуйста позвоните на телефон Горячей Линии бесплатно круглосуточно и сообщите что желаете чтобы все грузы для Вас приходили на этот терминалПеремещение бесплатно срок хранения продлен не будет,
Отвратительная работа менеджеров во ВладивостокеЗабрал последний груз и более не воспользуюсь услугой ответственное хранение,
Одно и тожевсе тупо смотрят как оформлять забор грузаКладовщик искал  минуехал сказал все в расчетеда Через месяц мне в Крым звонят и говорят а вы должны осталисья тут еще сверять как буду,
Валерий здравствуйтеСожалею что возникла такая проблемаРазберемся и предоставим Вам информациюИзвините за неудобства,
Заказ  от  во первых перепутали два груза Мой уехал в сургут сургутский уехал в ХантыМансийск  июля груз который отправляли Ханты был уже в Сургуте Сделали перенаправление Уже неделю вы не можете привезти груз который в  км от ХантыМансийска Просто суперская скорость доставки Да еще и менеджеры снова перенесли дату доставки на  августа Во вторых менеджеры даже не знают где находится сейчас груз Отличная работа ДЛ браво,
Прекратите ставить доставку до адреса по умолчанию Полдня пишем письма на уточнение получателя тк с нас требуют указать фактический адрес получателя которого мы не знаем тк данная услуга нами не заказывалась Слова операторов при оформлении при приеме груза что получатель может отказаться вызывают только раздражение И по факту  письма не принимают в работу а дальше занавес ваш сотрудник рекомендует возможно указание адреса терминала нашей компании  Те я должна найти адрес вашего филиала и внести его Интересно будет мнение надзорных органов по поводу включения таких допуслуг по умолчанию,
Марина здравствуйтеНасколько я поняла речь идет о письме об изменении получателяЕсли я поняла Вас верно то добавление доставки до адреса в накладную в этом случае не имеет значенияПри указании данных нового получателя Вы указываете наименованиеиннфиопаспортные данные контактный телефон и адрес Если Вы не знаете адреса получателяили его сложно уточнить нас устроит если Вы внесете адрес нашего терминала в этом городетак прощеАдрес нашего терминала Вы можете найти на нашем сайтеИли напишите мне в ЛС номер накладной я Вам сообщу адрес,
Мария мне не нравится что эту услугу добавляют автоматически а потом изза этого у меня возникают доп сложности Я сама могу все найти но тратить на это время не желаю Тоже самое происходит в случае смены плательщика  мы пишем  письмо на смену плательщика  письмо приходится писать на отмену доставки и только после этого оплачиваем счета И как вы думаете  осознавая все это а ошибки к сожалению случаются при большом количестве отгружаемых заказов как часто мы будем обращаться в ДЛ В остальных компаниях  услугу по адресной доставке предлагают клиенту когда сообщают о прибытии груза,
Марина если доставка до адреса никогда не требуется этот вопрос можно решить с менеджеромПожалуйста напишите мне в ЛС ИНН Вашей организации и мне надо будет уточнить у Вас некоторые детали,
Заказ  с  по  уже идет,
 здравствуйте Отдел доставки свяжется с Вами по поводу доставки до адреса Извините за неудобства,
ожидаем поставку товара с  июля сегодня  августа товара до сих пор нет на сайте указано  что товар находится на складе получателя  но по факту его там нет и на горячей линии утверждают что информация сайта ошибочная Ужасный сервис никакого инфо не дают ни по сроках ни по месту нахождения грузаКто сталкивался с такой проблемой куда обращаться  чтобы возместить ущерб  накладная,
Юлия здравствуйтеИзвините что возникли проблемы при работе с нашей компанией отдел доставки свяжется с получателем по поводу доставки до адреса,
Мария по поводу какой доставки с нами свяжутся если на сайте отображена некорректная по их словам информация Вы можете дать конкретную информацию где находится груз и когда его доставят,
Юлия по имеющейся информации груз находится на терминалеОтдел доставки свяжется с получателем и согласуют датувремя доставкидоставка согласована на ,
Здравствуйте За что берется страховка груза если в случае его повреждения невозможно получить компенсацию Накладная Мне привезли груз  электроинструмент я его забрал и оказалось что он разбит А страховая отвечает что мы страхуем груз только в дороге Но никто из сотрудников Дел линий не просил сначала проверить груз а потом подписать его получение Вместо этого сразу дают бумагу подписать и отдают грузЯ что должен быть юристом и каждый раз во время приема груза вызывать свидетелей чтобы во время вскрытия определить груз поврежден или нетКаждую неделю не по разу забираюотсылаю грузы уже кучу денег потратил на Деловые линии а тут такое наплевательское отношение,
Сергей здравствуйтеНомер накладной неверный не хватает одной цифры проверьте пожалуйста,
Мария уточняю  от  г,
Сергей груз по этой накладной был получен на нашем складе При получении груза на складе все нарушения упаковкигруза необходимо фиксировать коммерческим актом составляется акт выдачи менеджером претензионного отдела по желанию получателя грузаПри получении этого груза не было заявлено о том груз или упаковка поврежденыГруз был получен без замечанийСожалею что возникла такая проблема,
Мария почему тогда сотрудники не предлагают осмотреть груз просто отдают и все Они же видят что коробки все помятые и все перемотано скотчемВидел в ваших правилах что инструмент не принимается к перевозке без дополнительной жесткой упаковки Почему тогда мой груз был принят к перевозке без надлежащей упаковки,
Сергей акт составляем по желанию получателя грузаЕсли Вы сообщаете что необходимо составить акт подойдет менеджер претензионного отдела в Вашем присутствии составят актЧто касается упаковкив перечне грузов подлежащих обязательной жесткой упаковке не указан Инструмент при оформлении заявки за забор груза отправитель не указал что необходима упаковка с нашей стороны,
Заказ  вес  кг объём  пункт отправления Пенза пункт доставки Волгоград стоимость  р  Надо полагатьгруз доставлен либо голубиной почтойлибо от самой Пензы его нес подмышками Нобелевский лауреат И такие выкрутасы далеко не в первый раз Ни один груз наших компаний не попападёт в ваши лапы Более тогоприложу максимум усилийчтобы все эти факты стали доступны всем нашим клиентамгрузоперевозчикам и грузоотправителям,
Андрей здравствуйтеПо этой накладной указано что получатель груз забирает самостоятельно поэтому стоимость будет ниже  руб Груз был отправлен с упаковкой палетный борт При использовании палетного борта стоимость перевозки груза увеличивается на   это связано с увеличением веса и объема грузоместа Стоимость перевозки по этой накладной рассчитана верно Вы можете заранее на нашем сайте рассчитать ориентировочную стоимость перевозки и затем принять решение об отправке груза,
Андрей Андрей такая же история Последнее время ДЛ по умолчанию начали впаривать доставку до адреса даже когда согласовывается доставка исключительно до терминала стоимость доставки возрасла почти в  раза получатели платят не глядя и переплачиваю за доставку которая им не нужна Предполагаю что операторам план поставили на доставки и они теперь всем их лепят,
Мария ДЛ перепутала города в отправке по накладным   Один из получателей оставил жалобу и улетел из страны Это было  дня назад На данный момент дело не сдвинулось с точки Грузы даже не направляются в нужное направление Как это отследить и как ускорить И какой срок на то что бы исправить подобный косяк ДЛ,
Антон здравствуйтеЕсли получателю доставка не требуется от нее можно отказаться и забрать груз на терминале Разумеется в этом случае не берется оплата за неоказанную услугудоставка до адресаЧто касается перепутанных грузов  разбираемся в ситуации Написала Вам в ЛС прошу дать инфоИзвините за неудобства,
Мария подавал претензию как и ожидалось в ней отказали Ответ был что вы получили груз вовремя и то что он был не мой никого не волновало Пришлось подавать претензию повторно и после недели звонков и разбирательств ее  удовлетворили,
Сергей здравствуйтеСожалею что решение вопроса заняло длительное время и не смогли разобраться при первом Вашем обращенииИзвините за доставленные неудобства,
 по накладной  привезли ЧУЖОЙ грузКогда будет доставлен МОЙ груз,
Здравствуйте АлександрПо этому инциденту идет проверка обязательно свяжемся и предоставим ответИзвините за неудобства,
